date,recipient,withdraw,deposit,balance
07/02/2020,DEPOSIT             ,,142.8,6015.78
07/02/2020,COCO TEA          _F,11.00,,6004.78
07/03/2020,SAVINGS ACC,0.50,,6004.28
07/03/2020,STEAM,29.77,,5974.51
07/06/2020,PAYPAL*CHEN NIA   _V,,99.99,6074.50
07/06/2020,SAVINGS ACC,0.50,,6074.00
07/08/2020,CANADA           FED,,1250.0,7324.00
07/13/2020,E-TRANSFER,,40.0,7364.00
07/13/2020,E-TRANSFER,,100.0,7464.00
07/15/2020,DEPOSIT             ,,450.0,7914.00
07/30/2020,ALBERTA EDUCATI   _V,10.00,,7904.00
07/31/2020,SAVINGS ACC,0.50,,7903.50
07/31/2020,INTEREST CREDIT     ,,0.06,7903.56
08/05/2020,CANADA           FED,,1250.0,9153.56
08/05/2020,PAYPAL *RE  283.98_V,283.98,,8869.58
08/05/2020,DEPOSIT             ,,910.0,9779.58
08/06/2020,SAVINGS ACC,0.50,,9779.08
08/06/2020,COCO TEA          _F,6.81,,9772.27
08/07/2020,SAVINGS ACC,0.50,,9771.77
08/07/2020,E-TRANSFER,,15.0,9786.77
08/14/2020,LONDON DRUGS 40   _F,26.49,,9760.28
08/17/2020,SAVINGS ACC,0.50,,9759.78
08/19/2020,LONDON DRUGS 40   _F,,31.49,9791.27
08/31/2020,E-TRANSFER,,100.0,9891.27
08/31/2020,INTEREST CREDIT     ,,0.08,9891.35
09/04/2020,LONDON DRUGS 40   _F,18.88,,9872.47
09/08/2020,SAVINGS ACC,0.50,,9871.97
09/10/2020,E-TRANSFER,,0.5,9872.47
09/10/2020,E-TRANSFER,,0.1,9872.57
09/10/2020,E-TRANSFER,,0.2,9872.77
09/10/2020,E-TRANSFER,,0.1,9872.87
09/21/2020,E-TRANSFER,,35.0,9907.87
09/22/2020,MOBILE DEPOSIT      ,,2500.0,12407.87
09/22/2020,TFR-TO C/C,7000.00,,5407.87
09/22/2020,AB STUDENT AID   MSP,,1325.0,6732.87
09/24/2020,CANADA           GSL,,1530.0,8262.87
09/24/2020,CANADA           GSL,,3000.0,11262.87
09/30/2020,INTEREST CREDIT     ,,0.08,11262.95
10/30/2020,E-TRANSFER,,30.0,11292.95
