,Category,Date,AmountIn,AmountOut
0,Loans,2022-01-04,3000.0,0.0
1,Investments,2022-01-04,0.0,300.0
2,Reimbursements,2022-01-05,76.32,0.0
3,Employment,2022-01-13,11.21,0.0
4,Employment,2022-01-14,1109.42,0.0
5,Transfers,2022-01-17,0.0,268.71
6,Employment,2022-01-28,7.14,0.0
7,Employment,2022-01-31,706.64,0.0
8,Subsidiary,2022-01-31,0.29,0.0
9,Subsidiary,2022-01-31,0.0,0.0
10,Shopping,2022-02-01,0.0,57.5
11,Investments,2022-02-02,0.0,300.0
12,Rent & Utilities,2022-02-04,0.0,5.75
13,Employment,2022-02-14,7.21,0.0
14,Employment,2022-02-15,714.19,0.0
15,Transfers,2022-02-17,0.0,267.86
16,Subsidiary,2022-02-17,80.0,0.0
17,Employment,2022-02-25,8.73,0.0
18,Subsidiary,2022-02-28,0.0,0.0
19,Subsidiary,2022-02-28,0.27,0.0
20,Employment,2022-02-28,863.98,0.0
21,Investments,2022-03-02,0.0,300.0
22,Reimbursements,2022-03-10,1774.61,0.0
23,Employment,2022-03-14,4.88,0.0
24,Employment,2022-03-15,483.1,0.0
25,Rent & Utilities,2022-03-21,0.0,11.67
26,Transfers,2022-03-21,0.0,827.71
27,Reimbursements,2022-03-29,228.33,0.0
28,Employment,2022-03-30,9.15,0.0
29,Subsidiary,2022-03-31,0.0,0.0
30,Employment,2022-03-31,906.07,0.0
31,Subsidiary,2022-03-31,0.31,0.0
32,Investments,2022-04-04,0.0,300.0
33,Subsidiary,2022-04-05,100.0,0.0
34,Reimbursements,2022-04-05,76.32,0.0
35,Reimbursements,2022-04-11,17.26,0.0
36,Reimbursements,2022-04-14,42.83,0.0
37,Reimbursements,2022-04-14,42.83,0.0
38,Employment,2022-04-14,10.56,0.0
39,Employment,2022-04-18,1045.3,0.0
40,Reimbursements,2022-04-22,42.83,0.0
41,Transfers,2022-04-22,0.0,545.43
42,Transfers,2022-04-27,0.0,3000.0
43,Employment,2022-04-28,11.97,0.0
44,Employment,2022-04-29,1185.27,0.0
45,Subsidiary,2022-04-29,0.31,0.0
46,Subsidiary,2022-04-30,0.0,0.0
47,Investments,2022-05-02,0.0,300.0
48,Transfers,2022-05-03,3000.0,0.0
49,Transfers,2022-05-04,0.0,500.0
50,Reimbursements,2022-05-09,1.0,0.0
51,Reimbursements,2022-05-09,22.32,0.0
52,Reimbursements,2022-05-09,23.32,0.0
53,Transfers,2022-05-10,2235.0,0.0
54,Employment,2022-05-12,5.63,0.0
55,Transfers,2022-05-12,0.0,641.5
56,Employment,2022-05-13,557.15,0.0
57,Shopping,2022-05-16,0.0,70.0
58,Employment,2022-05-24,727.91,0.0
59,Employment,2022-05-30,3.19,0.0
60,Subsidiary,2022-05-31,0.0,0.0
61,Subsidiary,2022-05-31,0.35,0.0
62,Employment,2022-05-31,315.62,0.0
63,Investments,2022-06-02,0.0,300.0
64,Shopping,2022-06-02,0.0,1344.0
65,Employment,2022-06-03,1186.53,0.0
66,Transfers,2022-06-08,0.0,615.33
67,Misc,2022-06-15,0.0,13.0
68,Transfers,2022-06-15,0.0,512.97
69,Employment,2022-06-17,1325.82,0.0
70,Transfers,2022-06-24,0.0,757.56
71,Health,2022-06-27,0.0,26.85
72,Reimbursements,2022-06-27,36.0,0.0
73,Transfers,2022-06-28,0.0,0.5
74,Employment,2022-06-30,1325.82,0.0
75,Subsidiary,2022-06-30,0.34,0.0
76,Subsidiary,2022-06-30,0.0,0.0
77,Investments,2022-07-04,0.0,300.0
78,Reimbursements,2022-07-05,116.75,0.0
79,Rent & Utilities,2022-07-11,0.0,983.68
80,Rent & Utilities,2022-07-12,0.0,3.0
81,Transfers,2022-07-13,0.0,444.13
82,Reimbursements,2022-07-15,269.5,0.0
83,Employment,2022-07-15,1202.01,0.0
84,Groceries,2022-07-17,0.0,44.7
85,Groceries,2022-07-21,0.0,17.23
86,Transfers,2022-07-22,0.0,483.3
87,Groceries,2022-07-23,0.0,0.5
88,Transfers,2022-07-25,61.93,0.0
89,Health,2022-07-25,0.0,26.85
90,Transfers,2022-07-25,0.0,61.93
91,Transfers,2022-07-26,0.0,0.5
92,Transfers,2022-07-29,0.0,723.02
93,Subsidiary,2022-07-29,0.24,0.0
94,Subsidiary,2022-07-29,0.36,0.0
95,Employment,2022-07-29,1325.82,0.0
96,Reimbursements,2022-07-29,37.73,0.0
97,Subsidiary,2022-07-29,0.08,0.0
98,Groceries,2022-07-31,0.0,31.82
99,Subsidiary,2022-07-31,0.0,0.0
100,Home & Office,2022-08-01,0.0,597.45
101,Investments,2022-08-02,0.0,300.0
102,Investments,2022-08-02,0.0,6000.0
103,Groceries,2022-08-04,0.0,10.5
104,Restaurants,2022-08-06,0.0,47.67
105,Restaurants,2022-08-06,0.0,10.5
106,Restaurants,2022-08-06,0.0,18.38
107,Groceries,2022-08-08,0.0,63.14
108,Misc,2022-08-08,0.0,50.97
109,Rent & Utilities,2022-08-09,0.0,93.0
110,Transfers,2022-08-10,0.0,0.5
111,Restaurants,2022-08-11,0.0,15.75
112,Restaurants,2022-08-12,0.0,79.74
113,Transfers,2022-08-12,795.71,0.0
114,Restaurants,2022-08-12,0.0,7.34
115,Transfers,2022-08-12,0.0,795.71
116,Employment,2022-08-12,706.74,0.0
117,Home & Office,2022-08-13,0.0,649.29
118,Subsidiary,2022-08-15,215.0,0.0
119,Reimbursements,2022-08-15,131.9,0.0
120,Transfers,2022-08-15,0.0,210.0
121,Transfers,2022-08-15,633.45,0.0
122,Transfers,2022-08-15,0.0,633.45
123,Transfers,2022-08-15,478.75,0.0
124,Travel,2022-08-16,0.0,36.75
125,Home & Office,2022-08-16,0.0,366.77
126,Transfers,2022-08-18,566.41,0.0
127,Home & Office,2022-08-18,0.0,103.77
128,Groceries,2022-08-18,0.0,43.76
129,Health,2022-08-18,0.0,57.43
130,Misc,2022-08-18,0.0,41.75
131,Transfers,2022-08-18,0.0,566.41
132,Transfers,2022-08-18,0.0,614.75
133,Health,2022-08-19,0.0,25.01
134,Reimbursements,2022-08-19,24.0,0.0
135,Home & Office,2022-08-19,0.0,18.38
136,Misc,2022-08-19,0.0,65.0
137,Home & Office,2022-08-21,0.0,12.64
138,Home & Office,2022-08-22,0.0,29.63
139,Reimbursements,2022-08-22,23.34,0.0
140,Groceries,2022-08-22,0.0,57.48
141,Home & Office,2022-08-22,0.0,45.98
142,Groceries,2022-08-23,0.0,32.62
143,Groceries,2022-08-23,0.0,177.47
144,Shopping,2022-08-26,0.0,19.53
145,Groceries,2022-08-26,0.0,47.87
146,Employment,2022-08-26,1325.82,0.0
147,Misc,2022-08-26,0.0,12.0
148,Reimbursements,2022-08-27,33.92,0.0
149,Restaurants,2022-08-27,0.0,20.86
150,Transfers,2022-08-30,75.0,0.0
151,Subsidiary,2022-08-31,0.0,0.0
152,Rent & Utilities,2022-08-31,0.0,5717.29
153,Subsidiary,2022-08-31,0.3,0.0
154,Restaurants,2022-09-01,0.0,0.81
155,Restaurants,2022-09-01,0.0,29.32
156,Health,2022-09-01,0.0,25.01
157,Investments,2022-09-02,0.0,300.0
158,Groceries,2022-09-03,0.0,326.58
159,Health,2022-09-03,0.0,71.28
160,Shopping,2022-09-04,0.0,34.38
161,Groceries,2022-09-04,0.0,46.55
162,Transfers,2022-09-06,938.35,0.0
163,Transfers,2022-09-06,0.0,157.86
164,Transfers,2022-09-06,0.0,282.2
165,Transfers,2022-09-06,0.0,938.35
166,Misc,2022-09-06,11.1,0.0
167,Transfers,2022-09-06,271.1,0.0
168,Misc,2022-09-06,93.1,0.0
169,Reimbursements,2022-09-06,16.09,0.0
170,Transfers,2022-09-06,13.0,0.0
171,Subsidiary,2022-09-07,3.25,0.0
172,Home & Office,2022-09-07,0.0,23.63
173,Transfers,2022-09-08,5000.0,0.0
174,Home & Office,2022-09-08,0.0,600.0
175,Home & Office,2022-09-09,0.0,191.99
176,Employment,2022-09-09,1124.63,0.0
177,Home & Office,2022-09-09,0.0,24.13
178,Groceries,2022-09-09,0.0,99.98
179,Groceries,2022-09-10,0.0,29.08
180,Groceries,2022-09-10,0.0,4.99
181,Groceries,2022-09-10,0.0,3.78
182,Loans,2022-09-12,2825.0,0.0
183,Loans,2022-09-12,7140.0,0.0
184,Misc,2022-09-12,0.0,10.0
185,Home & Office,2022-09-13,597.45,0.0
186,Transfers,2022-09-14,0.0,12.59
187,Transfers,2022-09-14,12.59,0.0
188,Health,2022-09-15,0.0,25.01
189,Employment,2022-09-15,190.91,0.0
190,Groceries,2022-09-15,0.0,57.16
191,Subsidiary,2022-09-15,40.0,0.0
192,Transfers,2022-09-16,0.0,159.01
193,Groceries,2022-09-19,0.0,175.55
194,Groceries,2022-09-19,0.0,4.99
195,Groceries,2022-09-19,0.0,17.24
196,Home & Office,2022-09-21,0.0,28.73
197,Employment,2022-09-23,851.72,0.0
198,Groceries,2022-09-24,0.0,44.56
199,Misc,2022-09-26,0.0,60.0
200,Misc,2022-09-26,0.0,5.0
201,Rent & Utilities,2022-09-28,0.0,4.94
202,Transfers,2022-09-28,0.0,95.07
203,Misc,2022-09-28,0.0,10.0
204,Health,2022-09-29,0.0,25.01
205,Employment,2022-09-29,373.55,0.0
206,Subsidiary,2022-09-29,0.33,0.0
207,Subsidiary,2022-09-30,0.0,0.0
208,Groceries,2022-10-01,0.0,307.28
209,Investments,2022-10-03,0.0,300.0
210,Reimbursements,2022-10-03,43.41,0.0
211,Rent & Utilities,2022-10-03,0.0,1013.91
212,Rent & Utilities,2022-10-03,0.0,88.37
213,Subsidiary,2022-10-03,300.0,0.0
214,Restaurants,2022-10-04,0.0,14.26
215,Rent & Utilities,2022-10-04,0.0,150.0
216,Reimbursements,2022-10-05,116.75,0.0
217,Restaurants,2022-10-07,0.0,38.18
218,Employment,2022-10-07,851.73,0.0
219,Groceries,2022-10-08,0.0,159.08
220,Transfers,2022-10-11,656.57,0.0
221,Transfers,2022-10-11,0.0,656.57
222,Employment,2022-10-13,373.55,0.0
223,Health,2022-10-13,0.0,25.01
224,Reimbursements,2022-10-14,134.75,0.0
225,Travel,2022-10-15,0.0,15.0
226,Groceries,2022-10-19,0.0,11.13
227,Groceries,2022-10-19,0.0,53.85
228,Restaurants,2022-10-21,0.0,9.14
229,Employment,2022-10-21,836.25,0.0
230,Groceries,2022-10-24,0.0,270.02
231,Misc,2022-10-24,0.0,25.0
232,Shopping,2022-10-25,0.0,229.95
233,Health,2022-10-27,0.0,25.01
234,Employment,2022-10-27,373.55,0.0
235,Home & Office,2022-10-30,0.0,32.16
236,Entertainment,2022-10-31,0.0,124.0
237,Subsidiary,2022-10-31,30.0,0.0
238,Subsidiary,2022-10-31,0.39,0.0
239,Entertainment,2022-10-31,0.0,2.0
240,Entertainment,2022-10-31,0.0,5.0
241,Groceries,2022-10-31,0.0,147.67
242,Transfers,2022-10-31,0.0,369.09
243,Subsidiary,2022-10-31,25.0,0.0
244,Subsidiary,2022-10-31,30.0,0.0
245,Subsidiary,2022-10-31,20.0,0.0
246,Subsidiary,2022-10-31,25.0,0.0
247,Transfers,2022-10-31,369.09,0.0
248,Entertainment,2022-10-31,0.0,16.25
249,Restaurants,2022-10-31,0.0,13.2
250,Restaurants,2022-10-31,0.0,6.2
251,Subsidiary,2022-10-31,0.0,0.0
252,Subsidiary,2022-10-31,150.0,0.0
253,Subsidiary,2022-10-31,20.0,0.0
254,Rent & Utilities,2022-11-01,0.0,953.35
255,Reimbursements,2022-11-01,10.51,0.0
256,Transfers,2022-11-01,0.0,0.5
257,Restaurants,2022-11-01,0.0,26.11
258,Restaurants,2022-11-01,0.0,5.95
259,Subsidiary,2022-11-01,25.0,0.0
260,Subsidiary,2022-11-02,35.0,0.0
261,Investments,2022-11-02,0.0,300.0
262,Groceries,2022-11-03,0.0,27.75
263,Health,2022-11-03,0.0,35.04
264,Reimbursements,2022-11-04,233.5,0.0
265,Employment,2022-11-04,317.2,0.0
266,Transfers,2022-11-07,0.0,162.66
267,Transfers,2022-11-07,162.66,0.0
268,Employment,2022-11-10,373.55,0.0
269,Entertainment,2022-11-10,0.0,500.0
270,Groceries,2022-11-10,0.0,6.28
271,Health,2022-11-10,0.0,25.01
272,Restaurants,2022-11-11,0.0,19.55
273,Transfers,2022-11-14,0.0,0.5
274,Restaurants,2022-11-14,0.0,44.26
275,Shopping,2022-11-17,0.0,31.44
276,Groceries,2022-11-18,0.0,279.8
277,Shopping,2022-11-18,0.0,177.39
278,Employment,2022-11-18,929.11,0.0
279,Restaurants,2022-11-19,0.0,13.23
280,Restaurants,2022-11-20,0.0,6.95
281,Entertainment,2022-11-20,0.0,8.05
